9239	693	0	0	0	0	0
9236	768	0	0	0	0	0
20348	1093	0	0	0	0	0
30130	2092	0	0	0	0	0
20367	2598	0	0	0	0	0
30121	2493	0	0	0	0	0
20419	6116	0	0	0	0	0
20394	6091	0	0	0	0	0
20395	6191	0	0	0	0	0
20408	6393	0	0	0	0	0
20412	6192	0	0	0	0	0
20013	3956	0	0	0	0	0
9331	4157	0	0	0	0	0
20300	0	84084	84080	84082	8485	172
20301	4	84085	84081	84083	8485	172
20302	5	84086	84080	84082	8485	172
20303	1	84087	84081	84083	8485	172
20304	2	84084	84080	84082	8485	172
20305	6	84084	84081	84083	8485	172
20306	7	84088	84080	84082	8485	172
20307	3	84089	84081	84083	8485	172
20320	0	84084	84080	84082	8485	172
20321	4	84085	84081	84083	8485	172
20322	5	84086	84080	84082	8485	172
20323	1	84087	84081	84083	8485	172
20324	2	84084	84080	84082	8485	172
20325	6	84084	84081	84083	8485	172
20326	7	84088	84080	84082	8485	172
20327	3	84089	84081	84083	8485	172
20340	0	84084	84080	84082	8485	172
20341	4	84085	84081	84083	8485	172
20342	5	84086	84080	84082	8485	172
20343	1	84087	84081	84083	8485	172
20344	2	84084	84080	84082	8485	172
20345	6	84084	84081	84083	8485	172
20346	7	84088	84080	84082	8485	172
20347	3	84089	84081	84083	8485	172
20711	0	84104	84100	84102	20273	176
20712	4	84105	84101	84103	20273	176
20713	5	84106	84100	84102	20273	176
20714	1	84107	84101	84103	20273	176
20715	2	84104	84100	84102	20273	176
20716	6	84104	84101	84103	20273	176
20717	7	84108	84100	84102	20273	176
20718	3	84109	84101	84103	20273	176

