ra	383	83	5	5	0	0	3600s	100	2	9011
ra	363	88	5	5	0	0	3600s	100	2	9011
ra	348	100	5	5	0	0	3600s	100	2	9011
ra	344	117	5	5	0	0	3600s	100	2	9011
ra	346	135	5	5	0	0	3600s	100	2	9011
ra	354	154	5	5	0	0	3600s	100	2	9011
ra	372	167	5	5	0	0	3600s	100	2	9011
ra	392	168	5	5	0	0	3600s	100	2	9011
ra	416	163	5	5	0	0	3600s	100	2	9011
ra	421	149	5	5	0	0	3600s	100	2	9011
ra	424	130	5	5	0	0	3600s	100	2	9011
ra	422	116	5	5	0	0	3600s	100	2	9011
ra	416	101	5	5	0	0	3600s	100	2	9011
ra	403	91	5	5	0	0	3600s	100	2	9011
ra	383	71	5	5	0	0	3600s	100	2	9011
ra	385	182	5	5	0	0	3600s	100	2	9011
ra	339	127	5	5	0	0	3600s	100	2	9011
ra	436	127	5	5	0	0	3600s	100	2	9011
ra	376	91	5	5	0	0	3600s	100	2	9011
ra	360	172	5	5	0	0	3600s	100	2	9011
ra	406	159	5	5	0	0	3600s	100	2	9011
ra	416	89	5	5	0	0	3600s	100	2	9011
